resource_id,date,start_time,end_time,available
ROOM_R001,2026-09-21,08:00,18:00,True
ROOM_R001,2026-09-22,08:00,18:00,True
ROOM_R001,2026-09-23,08:00,18:00,True
ROOM_R001,2026-09-24,08:00,18:00,True
ROOM_R001,2026-09-25,08:00,18:00,True
ROOM_R001,2026-09-26,09:00,13:00,True
ROOM_R001,2026-09-27,09:00,13:00,True
ROOM_R001,2026-09-28,08:00,18:00,True
ROOM_R001,2026-09-29,08:00,18:00,True
ROOM_R001,2026-09-30,08:00,18:00,True
ROOM_R001,2026-10-01,08:00,18:00,True
ROOM_R001,2026-10-02,08:00,18:00,True
ROOM_R001,2026-10-03,09:00,13:00,True
ROOM_R001,2026-10-04,09:00,13:00,True
ROOM_R002,2026-09-21,08:00,18:00,True
ROOM_R002,2026-09-22,08:00,18:00,True
ROOM_R002,2026-09-23,08:00,18:00,True
ROOM_R002,2026-09-24,08:00,18:00,True
ROOM_R002,2026-09-25,08:00,18:00,True
ROOM_R002,2026-09-26,09:00,13:00,True
ROOM_R002,2026-09-27,09:00,13:00,True
ROOM_R002,2026-09-28,08:00,18:00,True
ROOM_R002,2026-09-29,08:00,18:00,True
ROOM_R002,2026-09-30,08:00,18:00,True
ROOM_R002,2026-10-01,08:00,18:00,True
ROOM_R002,2026-10-02,08:00,18:00,True
ROOM_R002,2026-10-03,09:00,13:00,True
ROOM_R002,2026-10-04,09:00,13:00,True
ROOM_R003,2026-09-21,08:00,18:00,True
ROOM_R003,2026-09-22,08:00,18:00,True
ROOM_R003,2026-09-23,08:00,18:00,True
ROOM_R003,2026-09-24,08:00,18:00,True
ROOM_R003,2026-09-25,08:00,18:00,True
ROOM_R003,2026-09-26,09:00,13:00,True
ROOM_R003,2026-09-27,09:00,13:00,True
ROOM_R003,2026-09-28,08:00,18:00,True
ROOM_R003,2026-09-29,08:00,18:00,True
ROOM_R003,2026-09-30,08:00,18:00,True
ROOM_R003,2026-10-01,08:00,18:00,True
ROOM_R003,2026-10-02,08:00,18:00,True
ROOM_R003,2026-10-03,09:00,13:00,True
ROOM_R003,2026-10-04,09:00,13:00,True
ROOM_R004,2026-09-21,08:00,18:00,True
ROOM_R004,2026-09-22,08:00,18:00,True
ROOM_R004,2026-09-23,08:00,18:00,True
ROOM_R004,2026-09-24,08:00,18:00,True
ROOM_R004,2026-09-25,08:00,18:00,True
ROOM_R004,2026-09-26,09:00,13:00,True
ROOM_R004,2026-09-27,09:00,13:00,True
ROOM_R004,2026-09-28,08:00,18:00,True
ROOM_R004,2026-09-29,08:00,18:00,True
ROOM_R004,2026-09-30,08:00,18:00,True
ROOM_R004,2026-10-01,08:00,18:00,True
ROOM_R004,2026-10-02,08:00,18:00,True
ROOM_R004,2026-10-03,09:00,13:00,True
ROOM_R004,2026-10-04,09:00,13:00,True
ROOM_R005,2026-09-21,08:00,18:00,True
ROOM_R005,2026-09-22,08:00,18:00,True
ROOM_R005,2026-09-23,08:00,18:00,True
ROOM_R005,2026-09-24,08:00,18:00,True
ROOM_R005,2026-09-25,08:00,18:00,True
ROOM_R005,2026-09-26,09:00,13:00,True
ROOM_R005,2026-09-27,09:00,13:00,True
ROOM_R005,2026-09-28,08:00,18:00,True
ROOM_R005,2026-09-29,08:00,18:00,True
ROOM_R005,2026-09-30,08:00,18:00,True
ROOM_R005,2026-10-01,08:00,18:00,True
ROOM_R005,2026-10-02,08:00,18:00,True
ROOM_R005,2026-10-03,09:00,13:00,True
ROOM_R005,2026-10-04,09:00,13:00,True
ROOM_R006,2026-09-21,08:00,18:00,True
ROOM_R006,2026-09-22,08:00,18:00,True
ROOM_R006,2026-09-23,08:00,18:00,True
ROOM_R006,2026-09-24,08:00,18:00,True
ROOM_R006,2026-09-25,08:00,18:00,True
ROOM_R006,2026-09-26,09:00,13:00,True
ROOM_R006,2026-09-27,09:00,13:00,True
ROOM_R006,2026-09-28,08:00,18:00,True
ROOM_R006,2026-09-29,08:00,18:00,True
ROOM_R006,2026-09-30,08:00,18:00,True
ROOM_R006,2026-10-01,08:00,18:00,True
ROOM_R006,2026-10-02,08:00,18:00,True
ROOM_R006,2026-10-03,09:00,13:00,True
ROOM_R006,2026-10-04,09:00,13:00,True
ROOM_R007,2026-09-21,08:00,18:00,True
ROOM_R007,2026-09-22,08:00,18:00,True
ROOM_R007,2026-09-23,08:00,18:00,True
ROOM_R007,2026-09-24,08:00,18:00,True
ROOM_R007,2026-09-25,08:00,18:00,True
ROOM_R007,2026-09-26,09:00,13:00,True
ROOM_R007,2026-09-27,09:00,13:00,True
ROOM_R007,2026-09-28,08:00,18:00,True
ROOM_R007,2026-09-29,08:00,18:00,True
ROOM_R007,2026-09-30,08:00,18:00,True
ROOM_R007,2026-10-01,08:00,18:00,True
ROOM_R007,2026-10-02,08:00,18:00,True
ROOM_R007,2026-10-03,09:00,13:00,True
ROOM_R007,2026-10-04,09:00,13:00,True
ROOM_R008,2026-09-21,08:00,18:00,True
ROOM_R008,2026-09-22,08:00,18:00,True
ROOM_R008,2026-09-23,08:00,18:00,True
ROOM_R008,2026-09-24,08:00,18:00,True
ROOM_R008,2026-09-25,08:00,18:00,True
ROOM_R008,2026-09-26,09:00,13:00,True
ROOM_R008,2026-09-27,09:00,13:00,True
ROOM_R008,2026-09-28,08:00,18:00,True
ROOM_R008,2026-09-29,08:00,18:00,True
ROOM_R008,2026-09-30,08:00,18:00,True
ROOM_R008,2026-10-01,08:00,18:00,True
ROOM_R008,2026-10-02,08:00,18:00,True
ROOM_R008,2026-10-03,09:00,13:00,True
ROOM_R008,2026-10-04,09:00,13:00,True
ROOM_R009,2026-09-21,08:00,18:00,True
ROOM_R009,2026-09-22,08:00,18:00,True
ROOM_R009,2026-09-23,08:00,18:00,True
ROOM_R009,2026-09-24,08:00,18:00,True
ROOM_R009,2026-09-25,08:00,18:00,True
ROOM_R009,2026-09-26,09:00,13:00,True
ROOM_R009,2026-09-27,09:00,13:00,True
ROOM_R009,2026-09-28,08:00,18:00,True
ROOM_R009,2026-09-29,08:00,18:00,True
ROOM_R009,2026-09-30,08:00,18:00,True
ROOM_R009,2026-10-01,08:00,18:00,True
ROOM_R009,2026-10-02,08:00,18:00,True
ROOM_R009,2026-10-03,09:00,13:00,True
ROOM_R009,2026-10-04,09:00,13:00,True
ROOM_R010,2026-09-21,08:00,18:00,True
ROOM_R010,2026-09-22,08:00,18:00,True
ROOM_R010,2026-09-23,08:00,18:00,True
ROOM_R010,2026-09-24,08:00,18:00,True
ROOM_R010,2026-09-25,08:00,18:00,True
ROOM_R010,2026-09-26,09:00,13:00,True
ROOM_R010,2026-09-27,09:00,13:00,True
ROOM_R010,2026-09-28,08:00,18:00,True
ROOM_R010,2026-09-29,08:00,18:00,True
ROOM_R010,2026-09-30,08:00,18:00,True
ROOM_R010,2026-10-01,08:00,18:00,True
ROOM_R010,2026-10-02,08:00,18:00,True
ROOM_R010,2026-10-03,09:00,13:00,True
ROOM_R010,2026-10-04,09:00,13:00,True
ROOM_R011,2026-09-21,08:00,18:00,True
ROOM_R011,2026-09-22,08:00,18:00,True
ROOM_R011,2026-09-23,08:00,18:00,True
ROOM_R011,2026-09-24,08:00,18:00,True
ROOM_R011,2026-09-25,08:00,18:00,True
ROOM_R011,2026-09-26,09:00,13:00,True
ROOM_R011,2026-09-27,09:00,13:00,True
ROOM_R011,2026-09-28,08:00,18:00,True
ROOM_R011,2026-09-29,08:00,18:00,True
ROOM_R011,2026-09-30,08:00,18:00,True
ROOM_R011,2026-10-01,08:00,18:00,True
ROOM_R011,2026-10-02,08:00,18:00,True
ROOM_R011,2026-10-03,09:00,13:00,True
ROOM_R011,2026-10-04,09:00,13:00,True
ROOM_R012,2026-09-21,08:00,18:00,True
ROOM_R012,2026-09-22,08:00,18:00,True
ROOM_R012,2026-09-23,08:00,18:00,True
ROOM_R012,2026-09-24,08:00,18:00,True
ROOM_R012,2026-09-25,08:00,18:00,True
ROOM_R012,2026-09-26,09:00,13:00,True
ROOM_R012,2026-09-27,09:00,13:00,True
ROOM_R012,2026-09-28,08:00,18:00,True
ROOM_R012,2026-09-29,08:00,18:00,True
ROOM_R012,2026-09-30,08:00,18:00,True
ROOM_R012,2026-10-01,08:00,18:00,True
ROOM_R012,2026-10-02,08:00,18:00,True
ROOM_R012,2026-10-03,09:00,13:00,True
ROOM_R012,2026-10-04,09:00,13:00,True
ROOM_R013,2026-09-21,08:00,18:00,True
ROOM_R013,2026-09-22,08:00,18:00,True
ROOM_R013,2026-09-23,08:00,18:00,True
ROOM_R013,2026-09-24,08:00,18:00,True
ROOM_R013,2026-09-25,08:00,18:00,True
ROOM_R013,2026-09-26,09:00,13:00,True
ROOM_R013,2026-09-27,09:00,13:00,True
ROOM_R013,2026-09-28,08:00,18:00,True
ROOM_R013,2026-09-29,08:00,18:00,True
ROOM_R013,2026-09-30,08:00,18:00,True
ROOM_R013,2026-10-01,08:00,18:00,True
ROOM_R013,2026-10-02,08:00,18:00,True
ROOM_R013,2026-10-03,09:00,13:00,True
