timestamp,room_id,day_of_week,hour,is_weekend,exam_period,room_capacity,equipment_count,cost_per_hour,actual_occupancy,utilization_ratio,is_anomaly
2026-06-20 00:00:00,ROOM_R101,5,0,1,0,60,1,50.0,8,13.33,0
2026-06-20 01:00:00,ROOM_R101,5,1,1,0,60,1,50.0,4,6.67,0
2026-06-20 02:00:00,ROOM_R101,5,2,1,0,60,1,50.0,7,11.67,0
2026-06-20 03:00:00,ROOM_R101,5,3,1,0,60,1,50.0,1,1.67,0
2026-06-20 04:00:00,ROOM_R101,5,4,1,0,60,1,50.0,5,8.33,0
2026-06-20 05:00:00,ROOM_R101,5,5,1,0,60,1,50.0,5,8.33,0
2026-06-20 06:00:00,ROOM_R101,5,6,1,0,60,1,50.0,2,3.33,0
2026-06-20 07:00:00,ROOM_R101,5,7,1,0,60,1,50.0,8,13.33,0
2026-06-20 08:00:00,ROOM_R101,5,8,1,0,60,1,50.0,1,1.67,0
2026-06-20 09:00:00,ROOM_R101,5,9,1,0,60,1,50.0,6,10.0,0
2026-06-20 10:00:00,ROOM_R101,5,10,1,0,60,1,50.0,3,5.0,0
2026-06-20 11:00:00,ROOM_R101,5,11,1,0,60,1,50.0,54,90.0,1
2026-06-20 12:00:00,ROOM_R101,5,12,1,0,60,1,50.0,6,10.0,0
2026-06-20 13:00:00,ROOM_R101,5,13,1,0,60,1,50.0,6,10.0,0
2026-06-20 14:00:00,ROOM_R101,5,14,1,0,60,1,50.0,0,0.0,0
2026-06-20 15:00:00,ROOM_R101,5,15,1,0,60,1,50.0,7,11.67,0
2026-06-20 16:00:00,ROOM_R101,5,16,1,0,60,1,50.0,1,1.67,0
2026-06-20 17:00:00,ROOM_R101,5,17,1,0,60,1,50.0,1,1.67,0
2026-06-20 18:00:00,ROOM_R101,5,18,1,0,60,1,50.0,8,13.33,0
2026-06-20 19:00:00,ROOM_R101,5,19,1,0,60,1,50.0,5,8.33,0
2026-06-20 20:00:00,ROOM_R101,5,20,1,0,60,1,50.0,1,1.67,0
2026-06-20 21:00:00,ROOM_R101,5,21,1,0,60,1,50.0,8,13.33,0
2026-06-20 22:00:00,ROOM_R101,5,22,1,0,60,1,50.0,2,3.33,0
2026-06-20 23:00:00,ROOM_R101,5,23,1,0,60,1,50.0,5,8.33,0
2026-06-20 00:00:00,ROOM_R102,5,0,1,0,100,3,75.0,10,10.0,0
2026-06-20 01:00:00,ROOM_R102,5,1,1,0,100,3,75.0,14,14.0,0
2026-06-20 02:00:00,ROOM_R102,5,2,1,0,100,3,75.0,1,1.0,0
2026-06-20 03:00:00,ROOM_R102,5,3,1,0,100,3,75.0,14,14.0,0
2026-06-20 04:00:00,ROOM_R102,5,4,1,0,100,3,75.0,7,7.0,0
2026-06-20 05:00:00,ROOM_R102,5,5,1,0,100,3,75.0,14,14.0,0
2026-06-20 06:00:00,ROOM_R102,5,6,1,0,100,3,75.0,11,11.0,0
2026-06-20 07:00:00,ROOM_R102,5,7,1,0,100,3,75.0,10,10.0,0
2026-06-20 08:00:00,ROOM_R102,5,8,1,0,100,3,75.0,10,10.0,0
2026-06-20 09:00:00,ROOM_R102,5,9,1,0,100,3,75.0,13,13.0,0
2026-06-20 10:00:00,ROOM_R102,5,10,1,0,100,3,75.0,3,3.0,0
2026-06-20 11:00:00,ROOM_R102,5,11,1,0,100,3,75.0,0,0.0,0
2026-06-20 12:00:00,ROOM_R102,5,12,1,0,100,3,75.0,89,89.0,1
2026-06-20 13:00:00,ROOM_R102,5,13,1,0,100,3,75.0,0,0.0,0
2026-06-20 14:00:00,ROOM_R102,5,14,1,0,100,3,75.0,0,0.0,0
2026-06-20 15:00:00,ROOM_R102,5,15,1,0,100,3,75.0,7,7.0,0
2026-06-20 16:00:00,ROOM_R102,5,16,1,0,100,3,75.0,7,7.0,0
2026-06-20 17:00:00,ROOM_R102,5,17,1,0,100,3,75.0,10,10.0,0
2026-06-20 18:00:00,ROOM_R102,5,18,1,0,100,3,75.0,8,8.0,0
2026-06-20 19:00:00,ROOM_R102,5,19,1,0,100,3,75.0,7,7.0,0
2026-06-20 20:00:00,ROOM_R102,5,20,1,0,100,3,75.0,1,1.0,0
2026-06-20 21:00:00,ROOM_R102,5,21,1,0,100,3,75.0,5,5.0,0
2026-06-20 22:00:00,ROOM_R102,5,22,1,0,100,3,75.0,12,12.0,0
2026-06-20 23:00:00,ROOM_R102,5,23,1,0,100,3,75.0,9,9.0,0
2026-06-20 00:00:00,ROOM_R103,5,0,1,0,80,1,60.0,0,0.0,0
2026-06-20 01:00:00,ROOM_R103,5,1,1,0,80,1,60.0,9,11.25,0
2026-06-20 02:00:00,ROOM_R103,5,2,1,0,80,1,60.0,2,2.5,0
2026-06-20 03:00:00,ROOM_R103,5,3,1,0,80,1,60.0,1,1.25,0
2026-06-20 04:00:00,ROOM_R103,5,4,1,0,80,1,60.0,5,6.25,0
2026-06-20 05:00:00,ROOM_R103,5,5,1,0,80,1,60.0,0,0.0,0
2026-06-20 06:00:00,ROOM_R103,5,6,1,0,80,1,60.0,10,12.5,0
2026-06-20 07:00:00,ROOM_R103,5,7,1,0,80,1,60.0,7,8.75,0
2026-06-20 08:00:00,ROOM_R103,5,8,1,0,80,1,60.0,0,0.0,0
2026-06-20 09:00:00,ROOM_R103,5,9,1,0,80,1,60.0,9,11.25,0
2026-06-20 10:00:00,ROOM_R103,5,10,1,0,80,1,60.0,4,5.0,0
2026-06-20 11:00:00,ROOM_R103,5,11,1,0,80,1,60.0,10,12.5,0
2026-06-20 12:00:00,ROOM_R103,5,12,1,0,80,1,60.0,64,80.0,1
2026-06-20 13:00:00,ROOM_R103,5,13,1,0,80,1,60.0,11,13.75,0
2026-06-20 14:00:00,ROOM_R103,5,14,1,0,80,1,60.0,3,3.75,0
2026-06-20 15:00:00,ROOM_R103,5,15,1,0,80,1,60.0,8,10.0,0
2026-06-20 16:00:00,ROOM_R103,5,16,1,0,80,1,60.0,7,8.75,0
2026-06-20 17:00:00,ROOM_R103,5,17,1,0,80,1,60.0,2,2.5,0
2026-06-20 18:00:00,ROOM_R103,5,18,1,0,80,1,60.0,0,0.0,0
2026-06-20 19:00:00,ROOM_R103,5,19,1,0,80,1,60.0,0,0.0,0
2026-06-20 20:00:00,ROOM_R103,5,20,1,0,80,1,60.0,0,0.0,0
2026-06-20 21:00:00,ROOM_R103,5,21,1,0,80,1,60.0,11,13.75,0
2026-06-20 22:00:00,ROOM_R103,5,22,1,0,80,1,60.0,0,0.0,0
2026-06-20 23:00:00,ROOM_R103,5,23,1,0,80,1,60.0,10,12.5,0
2026-06-20 00:00:00,ROOM_R104,5,0,1,0,120,4,110.0,1,0.83,0
2026-06-20 01:00:00,ROOM_R104,5,1,1,0,120,4,110.0,7,5.83,0
